Nama Jenis,Individuals,Plots_Present,Total_Basal_Area,Density,Relative_Density,Frequency,Relative_Frequency,Dominance,Relative_Dominance,IVI
Ki Haji,65,6,9.454490475977627,13.541666666666668,43.624161073825505,0.5,35.294117647058826,1.9696855158286724,37.642904427707144,116.56118314859148
Ki Sapi,35,3,5.922226998228608,7.291666666666667,23.48993288590604,0.25,17.647058823529413,1.2337972912976267,23.579253208825595,64.71624491826104
Pisitan Monyet,12,1,2.238717976007433,2.5,8.053691275167784,0.08333333333333333,5.88235294117647,0.4663995783348819,8.913420244650865,22.84946446099512
Hantap Helang,8,1,1.5254173502501287,1.6666666666666667,5.369127516778524,0.08333333333333333,5.88235294117647,0.31779528130211016,6.073425074966225,17.324905532921218
Ki Besi,5,1,1.7557925005059984,1.0416666666666667,3.3557046979865772,0.08333333333333333,5.88235294117647,0.365790104272083,6.9906600952599725,16.22871773442302
Ki Terong,8,1,1.241476270465463,1.6666666666666667,5.369127516778524,0.08333333333333333,5.88235294117647,0.2586408896803048,4.942918152716781,16.194398610671776
Huru Kembang,7,1,1.2260244880256899,1.4583333333333335,4.697986577181208,0.08333333333333333,5.88235294117647,0.2554217683386854,4.881397125106041,15.46173664346372
Ki Bima,3,1,1.2384861399470364,0.625,2.013422818791946,0.08333333333333333,5.88235294117647,0.25801794582229926,4.931012995308511,12.826788755276926
Campaka,4,1,0.33798336545540836,0.8333333333333334,2.684563758389262,0.08333333333333333,5.88235294117647,0.07041320113654341,1.3456754286567922,9.912592128222524
Teureup,2,1,0.17564637006484815,0.4166666666666667,1.342281879194631,0.08333333333333333,5.88235294117647,0.03659299376351003,0.6993332468020783,7.923968067173179
