Scientific_Name,Local_Name,Individuals,Conservation_Status,Priority_Score,Priority_Category
Artocarpus elasticus,Teureup,2,Critically Endangered,0.6598099201679329,HIGH
Dysoxylum densiflorum,Ki Haji,65,Least Concern,0.64,HIGH
Magnolia champaca,Campaka,4,Critically Endangered,0.6297814803205563,HIGH
Dysoxylum parasiticum,Pisitan Monyet,12,Vulnerable,0.6071236611524878,HIGH
Sterculia coccinea,Hantap Helang,8,Endangered,0.5683122638323029,MEDIUM
Podocarpus blumei,Ki Bima,3,Critically Endangered,0.5670669718881923,MEDIUM
Gordonia excelsa,Ki Sapi,35,Least Concern,0.5267906122956526,MEDIUM
Rhodamnia cinerea,Ki Besi,5,Endangered,0.4955717943360575,MEDIUM
Endiandra rubescens,Ki Terong,8,Endangered,0.4954859965266794,MEDIUM
Actinodaphne sp.,Huru Kembang,7,Endangered,0.4936543416086593,MEDIUM
