Scientific_Name,Local_Name,Individuals,Threat_Level,Viability_Status,Conservation_Urgency,Implementation_Priority
Artocarpus elasticus,Teureup,2,EXTREME,NON-VIABLE,HIGH,2
Magnolia champaca,Campaka,4,EXTREME,NON-VIABLE,HIGH,2
Podocarpus blumei,Ki Bima,3,HIGH,NON-VIABLE,HIGH,3
Dysoxylum parasiticum,Pisitan Monyet,12,HIGH,CRITICALLY LOW,HIGH,3
Sterculia coccinea,Hantap Helang,8,MEDIUM,CRITICALLY LOW,HIGH,3
Rhodamnia cinerea,Ki Besi,5,MEDIUM,NON-VIABLE,HIGH,3
Endiandra rubescens,Ki Terong,8,MEDIUM,CRITICALLY LOW,HIGH,3
Actinodaphne sp.,Huru Kembang,7,MEDIUM,NON-VIABLE,HIGH,3
Gordonia excelsa,Ki Sapi,35,LOW,APPROACHING MVP,MODERATE,4
Dysoxylum densiflorum,Ki Haji,65,LOW,VIABLE,MODERATE,4
