"Local_Name_Pattern","Scientific_Name","Family","Population","Conservation_Status","Sustainable_Harvest"
"Ki Haji","Dysoxylum densiflorum","Meliaceae",65,"LEAST_CONCERN","YES - Sustainable harvest possible"
"Ki Sapi","Gordonia excelsa","Theaceae",35,"LEAST_CONCERN","YES - Sustainable harvest possible"
"Pisitan Monyet","Dysoxylum parasiticum","Meliaceae",12,"VULNERABLE","NO - Conservation only"
"Hantap Helang","Sterculia coccinea","Sterculiaceae",8,"ENDANGERED","NO - Conservation only"
"Huru Kembang","Actinodaphne sp.","Lauraceae",7,"ENDANGERED","NO - Conservation only"
"Ki Besi","Rhodamnia cinerea","Myrtaceae",5,"ENDANGERED","NO - Conservation only"
"Campaka","Magnolia champaca","Magnoliaceae",4,"CRITICALLY_ENDANGERED","NO - Urgent protection needed"
"Ki Bima","Podocarpus blumei","Podocarpaceae",3,"CRITICALLY_ENDANGERED","NO - Urgent protection needed"
"Teureup","Artocarpus elasticus","Moraceae",2,"CRITICALLY_ENDANGERED","NO - Urgent protection needed"
"ki Terong","Endiandra rubescens","Lauraceae",0,"NOT_FOUND","NOT_APPLICABLE"
